ID;Job Title;Salary Estimate;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue;Competitors
360;Sr. Data Engineer;$87K-$158K (Glassdoor est.);4.5;Moser Consulting;Indianapolis, IN;Indianapolis, IN;51 to 200 employees;1996;Company - Private;Consulting;Business Services;$25 to $50 million (USD);-1
361;Senior Insurance Data Scientist;$107K-$173K (Glassdoor est.);3.9;TransUnion;Chicago, IL;Chicago, IL;5001 to 10000 employees;1968;Company - Public;Financial Analytics & Research;Finance;$1 to $2 billion (USD);-1
362;Senior Data Science Systems Engineer;$56K-$99K (Glassdoor est.);3.2;MITRE;Hampton, VA;Bedford, MA;5001 to 10000 employees;1958;Nonprofit Organization;Federal Agencies;Government;$1 to $2 billion (USD);Battelle, General Atomics, SAIC
363;ENVIRONMENTAL ENGINEER/SCIENTIST;Employer Provided Salary:$25-$28 Per Hour;3.3;Mcphail Associates;Cambridge, MA;Cambridge, MA;1 to 50 employees;1976;Company - Private;Construction;Construction, Repair & Maintenance;Unknown / Non-Applicable;-1
364;Senior Scientist - Regulatory Submissions;$80K-$155K (Glassdoor est.);3.1;Reynolds American;Winston-Salem, NC;Winston-Salem, NC;5001 to 10000 employees;1875;Company - Private;Consumer Products Manufacturing;Manufacturing;$10+ billion (USD);-1
365;Scientist - Biomarker and Flow Cytometry;$43K-$98K (Glassdoor est.);2.4;Crown Bioscience;San Diego, CA;San Diego, CA;501 to 1000 employees;2006;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$50 to $100 million (USD);-1
366;Revenue Analytics Manager;$45K-$78K (Glassdoor est.);4.8;HOVER;San Francisco, CA;San Francisco, CA;51 to 200 employees;2011;Company - Private;Computer Hardware & Software;Information Technology;$25 to $50 million (USD);-1
367;Associate Scientist, LC/MS Biologics;$44K-$96K (Glassdoor est.);2.9;Q2 Solutions;Ithaca, NY;Morrisville, NC;1001 to 5000 employees;2015;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;Unknown / Non-Applicable;-1
368;Sr. Scientist Method Development;$50K-$110K (Glassdoor est.);2.9;Q2 Solutions;Marietta, GA;Morrisville, NC;1001 to 5000 employees;2015;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;Unknown / Non-Applicable;-1
369;IT - Data Engineer II;$61K-$119K (Glassdoor est.);3.4;Arbella Insurance;Quincy, MA;Quincy, MA;1001 to 5000 employees;1988;Company - Private;Insurance Carriers;Insurance;$100 to $500 million (USD);-1
370;Research Scientist, Immunology - Cancer Biology;Employer Provided Salary:$100K-$140K;-1;Kronos Bio;Cambridge, MA;San Mateo, CA;Unknown;-1;Company - Private;-1;-1;Unknown / Non-Applicable;-1
371;Project Scientist - Auton Lab, Robotics Institute;$56K-$91K (Glassdoor est.);2.6;Software Engineering Institute;Pittsburgh, PA;Pittsburgh, PA;501 to 1000 employees;1984;College / University;Colleges & Universities;Education;Unknown / Non-Applicable;-1
372;Data Scientist;$68K-$114K (Glassdoor est.);3.8;Zimmerman Advertising;Fort Lauderdale, FL;Fort Lauderdale, FL;501 to 1000 employees;1984;Subsidiary or Business Segment;Advertising & Marketing;Business Services;Unknown / Non-Applicable;-1
373;Data Scientist;Employer Provided Salary:$150K-$160K;5;BPA Services;Washington, DC;Alexandria, VA;Unknown;-1;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1
374;Enterprise Architect, Data;$101K-$158K (Glassdoor est.);3.6;MassMutual;Boston, MA;Springfield, MA;5001 to 10000 employees;1851;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);-1
375;Senior Manager, Epidemiologic Data Scientist;$125K-$210K (Glassdoor est.);4;Pfizer;New York, NY;New York, NY;10000+ employees;1849;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);-1
376;Corporate Risk Data Analyst (SQL Based) - Milwaukee or;$43K-$77K (Glassdoor est.);3.8;Associated Banc-Corp;Green Bay, WI;Green Bay, WI;1001 to 5000 employees;1870;Company - Public;Banks & Credit Unions;Finance;$1 to $2 billion (USD);Wells Fargo, BMO Harris Bank, U.S. Bank
377;Lead Data Scientist;$139K-$221K (Glassdoor est.);3.9;Zest AI;Burbank, CA;Burbank, CA;51 to 200 employees;2009;Company - Private;Financial Analytics & Research;Finance;$50 to $100 million (USD);-1
378;Marketing Data Analyst, May 2020 Undergrad;$44K-$86K (Glassdoor est.);3.8;Fareportal;New York, NY;New York, NY;1001 to 5000 employees;2002;Company - Private;Travel Agencies;Travel & Tourism;$2 to $5 billion (USD);Expedia Group, Orbitz Worldwide, Priceline.com
379;Senior Data Engineer;$78K-$147K (Glassdoor est.);4.3;Genesys;Durham, NC;Daly City, CA;5001 to 10000 employees;1990;Company - Private;Computer Hardware & Software;Information Technology;$1 to $2 billion (USD);Avaya, Five9, Salesforce
380;Senior Data Analyst;$65K-$110K (Glassdoor est.);1.9;Moda Operandi;New York, NY;New York, NY;201 to 500 employees;2010;Company - Private;Department, Clothing, & Shoe Stores;Retail;$100 to $500 million (USD);YOOX NET-A-PORTER GROUP, Farfetch, MATCHESFASHION
