ID,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
344,0,0,81,167,124, PA,1,36,0,0,0,0,0
345,0,0,97,160,128.5, IL,1,12,1,0,0,1,1
346,1,0,24,39,31.5, CO,1,54,0,0,0,0,0
347,0,0,42,86,64, CA,1,24,0,0,0,0,0
348,0,0,69,127,98, TN,1,62,1,0,0,0,0
349,0,0,110,175,142.5, CA,1,10,0,0,0,0,0
350,0,0,102,172,137, NY,0,107,1,0,0,0,0
351,0,0,74,124,99, CO,1,105,1,0,0,1,0
352,0,0,40,68,54, WI,1,56,0,0,0,0,0
353,0,0,108,171,139.5, MA,1,36,1,0,0,0,0
354,0,0,76,142,109, MD,0,21,0,0,0,1,0
355,0,0,202,306,254, IL,0,108,1,0,0,0,0
356,0,0,49,97,73, CA,0,8,0,0,0,0,0
357,0,0,49,113,81, MD,1,59,0,0,0,0,1
358,1,0,21,34,27.5, DE,0,85,0,0,0,0,0
359,0,0,65,134,99.5, NC,1,145,0,0,0,0,1
360,0,0,32,59,45.5, OH,1,31,0,0,0,0,0
361,0,0,87,158,122.5, IN,1,24,1,0,1,1,0
362,0,0,107,173,140, IL,1,52,1,0,0,0,1
363,0,0,56,99,77.5, VA,0,62,0,0,0,0,0
364,1,1,25,28,26.5, MA,1,44,0,0,0,0,1
365,0,0,80,155,117.5, NC,1,145,0,0,0,0,1
366,0,0,43,98,70.5, CA,1,14,0,0,0,0,0
367,0,0,45,78,61.5, CA,1,9,0,0,0,0,1
368,0,0,44,96,70, NY,0,5,0,0,0,0,1
369,0,0,50,110,80, GA,0,5,0,0,0,0,1
370,0,0,61,119,90, MA,1,32,0,0,1,0,1
371,0,1,100,140,120, MA,0,-1,0,0,0,0,1
372,0,0,56,91,73.5, PA,1,36,0,0,0,0,1
373,0,0,68,114,91, FL,1,36,1,0,0,0,1
374,0,1,150,160,155, DC,0,-1,0,0,0,1,1
375,0,0,101,158,129.5, MA,0,169,1,0,1,1,1
376,0,0,125,210,167.5, NY,1,171,0,0,0,1,1
377,0,0,43,77,60, WI,1,150,0,0,0,1,1
378,0,0,139,221,180, CA,1,11,1,0,0,0,1
379,0,0,44,86,65, NY,1,18,0,0,0,0,1
380,0,0,78,147,112.5, NC,0,30,1,0,1,1,0
381,0,0,65,110,87.5, NY,1,10,1,0,0,0,1
382,0,0,37,66,51.5, IN,0,108,1,0,0,0,1
383,0,0,38,64,51, CA,0,48,0,0,0,0,1
384,0,0,43,82,62.5, MA,0,164,1,0,0,0,1
385,0,0,90,110,100, AZ,0,39,0,0,0,0,0
386,0,0,61,109,85, VA,0,16,1,0,1,1,0
387,0,0,93,151,122, FL,1,8,1,0,0,1,0
388,0,0,52,81,66.5, IL,0,25,1,0,0,0,0
389,0,0,40,101,70.5, MO,1,18,0,0,1,0,1
390,0,0,97,180,138.5, TX,1,10,1,0,1,0,0
391,0,0,81,134,107.5, MA,0,77,0,0,1,0,1
392,0,0,84,157,120.5, MA,1,12,0,0,0,0,0
393,0,0,49,113,81, MD,1,59,0,0,0,0,0
394,0,0,68,139,103.5, KY,0,145,0,0,0,0,0
395,0,0,75,140,107.5, IL,1,15,0,0,0,0,0
396,0,0,121,203,162, CA,0,13,1,0,1,1,1
397,0,0,52,85,68.5, CA,1,51,1,0,1,0,1
398,0,0,81,140,110.5, OH,0,42,0,0,0,0,1
399,0,0,63,99,81, IL,0,95,0,0,0,0,0
400,0,0,110,150,130, IL,1,27,1,0,1,0,1
