Column1;Job Title;Salary Estimate;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue
46;Lead Data Scientist;$158K-$211K (Glassdoor est.);3.7;Visa Inc.;Bellevue, WA;Foster City, CA;10000+ employees;1958;Company - Public;IT Services;Information Technology;$10+ billion (USD)
47;Associate Data Analyst;$20K-$39K (Glassdoor est.);3.1;Intrado;Longmont, CO;Omaha, NE;5001 to 10000 employees;1986;Company - Private;Enterprise Software & Network Solutions;Information Technology;$2 to $5 billion (USD)
48;Spectral Scientist/Engineer;$56K-$117K (Glassdoor est.);4.7;Centauri;Beavercreek, OH;Chantilly, VA;501 to 1000 employees;1999;Company - Private;Aerospace & Defense;Aerospace & Defense;$100 to $500 million (USD)
49;College Hire - Data Scientist - Open to December 2019 Graduates;$63K-$99K (Glassdoor est.);3.7;Caterpillar;Peoria, IL;Deerfield, IL;10000+ employees;1925;Company - Public;Industrial Manufacturing;Manufacturing;$10+ billion (USD)
50;Data Scientist;$68K-$114K (Glassdoor est.);3.8;Zimmerman Advertising;Fort Lauderdale, FL;Fort Lauderdale, FL;501 to 1000 employees;1984;Subsidiary or Business Segment;Advertising & Marketing;Business Services;Unknown / Non-Applicable
51;Data Scientist, Office of Data Science;$86K-$143K (Glassdoor est.);3.3;Liberty Mutual Insurance;Boston, MA;Boston, MA;10000+ employees;1912;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD)
52;Data Science Analyst;$41K-$95K (Glassdoor est.);4.6;Torch Technologies, Inc.;Huntsville, AL;Huntsville, AL;1001 to 5000 employees;2002;Company - Private;Aerospace & Defense;Aerospace & Defense;$100 to $500 million (USD)
53;Data Scientist;$86K-$144K (Glassdoor est.);3.7;Swiss Re;Armonk, NY;Zurich, Switzerland;10000+ employees;1863;Company - Public;Insurance Agencies & Brokerages;Insurance;$10+ billion (USD)
54;Data Scientist;$80K-$139K (Glassdoor est.);3.7;Northrop Grumman;San Diego, CA;Falls Church, VA;10000+ employees;1939;Company - Public;Aerospace & Defense;Aerospace & Defense;$10+ billion (USD)
55;Data Scientist;$56K-$95K (Glassdoor est.);3.5;Sartorius;Albuquerque, NM;Gottingen, Germany;5001 to 10000 employees;1870;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $2 billion (USD)
56;Data Scientist;$120K-$189K (Glassdoor est.);4.1;Netskope;San Francisco, CA;Santa Clara, CA;501 to 1000 employees;2012;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable
57;Data Scientist;$111K-$176K (Glassdoor est.);4.7;1904labs;Saint Louis, MO;Saint Louis, MO;51 to 200 employees;2016;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable
58;Data Scientist;$54K-$93K (Glassdoor est.);4.1;ClearOne Advantage;Baltimore, MD;Baltimore, MD;501 to 1000 employees;2008;Company - Private;Banks & Credit Unions;Finance;Unknown / Non-Applicable
59;Data Scientist;$71K-$119K (Glassdoor est.);3.4;CyrusOne;Dallas, TX;Dallas, TX;201 to 500 employees;2000;Company - Public;Real Estate;Real Estate;$1 to $2 billion (USD)
